RECNO,REGION,FIELD,SQL_ORDER,SQL_NAME,SQL_SYNTAX,EASY_NAME,Edited,Comments
1,NWBOR,ECOGRP,1,ConLow,Econum = 126 or Econum = 127 or Econum = 128 or Econum = 129 or Econum = 134 or Econum = 135 or Econum = 136 or Econum = 137 or Econum = 222 or Econum = 223 or Econum = 224,,,
2,NWBOR,ECOGRP,2,HwdLow,Econum = 130 or Econum = 131 or Econum = 132 or Econum = 133,,,
3,NWBOR,ECOGRP,3,UplCe,Econum = 13 or Econum = 36 or Econum = 51 or Econum = 66 or Econum = 84 or Econum = 100 or Econum = 115,,,
4,NWBOR,ECOGRP,4,ShalES,Econum = 11 or Econum = 12 or Econum = 14 or Econum = 15 or Econum = 16 or Econum = 17 or Econum = 18 or Econum = 19 or Econum = 23 or Econum = 24 or Econum = 25 or Econum = 26 or Econum = 27 or Econum = 28,,,
5,NWBOR,ECOGRP,5,NA,EcoNum>0,,,
6,NWBOR,SFU,1,PWDOM,(Pw>=40),,,
7,NWBOR,SFU,2,PRDOM,(Pr >= 70),,,
8,NWBOR,SFU,3,PRWMX,(Pw + Pr >= 40),,,
9,NWBOR,SFU,4,UPLCE,(Ce >= 20 And EcoGrp = 'UplCe') Or ((Ce >= 40 And Bf <= 10 And (Pr + Pw + Pj + Sw + Bf + Po) >= 20 And AllCon >= 70) And (EcoGrp <> 'ConLow')),,,
10,NWBOR,SFU,5,OCLOW,(Ce + La >= 50 Or (LeadSpc = 'Ce' or LeadSpc = 'La')) And EcoGrp = 'ConLow',,,
11,NWBOR,SFU,6,SBLOW,(EcoGrp = 'ConLow') Or (EcoGrp = 'HwdLow' And AllCon > AllHwd),,,
12,NWBOR,SFU,7,SBSHA,(Sb >= 70 And Po + Bw <= 20 And EcoGrp = 'ShalES'),,,
13,NWBOR,SFU,8,SBDEE,(Sb >= 70 And Po + Bw <= 20),,,
14,NWBOR,SFU,9,PJSHA,(Pj >= 70 And Po + Bw <= 20 and EcoGrp='ShalES') Or (Pj >= 50 And Po + Bw <= 20 And AGE >= 120 And EcoGrp = 'ShalES'),,,
15,NWBOR,SFU,10,PJDEE,(Pj >= 70 And Po + Bw <= 20) Or (Pj >= 50 And Po + Bw <= 20 And AGE >= 120) Or (Pj >= 70 And (EcoNum = 34 or EcoNum = 35)),,,
16,NWBOR,SFU,11,POSHA,(Po >= 70 And EcoGrp = 'ShalES'),,,
17,NWBOR,SFU,12,PODEE,(Po >= 70),,,
18,NWBOR,SFU,13,BWSHA,(Bw >= 60 And Po + Bw >= 70 And EcoGrp = 'ShalES'),,,
19,NWBOR,SFU,14,BWDEE,(Bw >= 60 And Po + Bw >= 70),,,
20,NWBOR,SFU,15,OTHHD,(Uh + Lh >= 30),,,
21,NWBOR,SFU,16,SBMX1,AllCon >= 70 And Bf <= 10 And Po + Bw <= 20 And Sb + Sw > Pj And Sb + Sw + Pj >= 40,,,
22,NWBOR,SFU,17,PJMX1,AllCon >= 70 And Bf <= 10 And Po + Bw <= 20 And Sb + Sw <= Pj And Sb + Sw + Pj >= 40,,,
23,NWBOR,SFU,18,BFPUR,(Bf >= 70),,,
24,NWBOR,SFU,19,BFMX1,(AllCon >= 70 And Bf > 10 And Bf + Sw >= 30),,,
25,NWBOR,SFU,20,HRDOM,(AllHwd >= 70),,,
26,NWBOR,SFU,21,HRDMW,(AllHwd >= 50),,,
27,NWBOR,SFU,22,CONMX,(AllCon > 50),,,
28,NWBOR,SFU,23,HRDMW,(AllHwd >= AllCon),,,
29,NWBOR,LGFU,1,PRWMX,SFU = 'PWDOM' or SFU = 'PRDOM' or SFU = 'PRWMX',,,
30,NWBOR,LGFU,2,OCLOW,SFU = 'OCLOW',,,
31,NWBOR,LGFU,3,SBLOW,SFU = 'SBLOW',,,
32,NWBOR,LGFU,4,SBDOM,SFU = 'SBSHA' or SFU = 'SBDEE',,,
33,NWBOR,LGFU,5,PJDOM,SFU = 'PJSHA' or SFU = 'PJDEE',,,
34,NWBOR,LGFU,6,PODOM,SFU = 'POSHA' or SFU = 'PODEE',,,
35,NWBOR,LGFU,7,BWDOM,SFU = 'BWSHA' or SFU = 'BWDEE',,,
36,NWBOR,LGFU,8,OTHHD,SFU = 'OTHHD',,,
37,NWBOR,LGFU,9,SBMX1,SFU = 'SBMX1',,,
38,NWBOR,LGFU,10,PJMX1,SFU = 'PJMX1',,,
39,NWBOR,LGFU,11,BFDOM,SFU = 'BFPUR' or SFU = 'BFMX1',,,
40,NWBOR,LGFU,12,HRDOM,SFU = 'HRDOM',,,
41,NWBOR,LGFU,13,HRDMX,SFU = 'HRDMW',,,
42,NWBOR,LGFU,14,CONMX,SFU = 'CONMX' or SFU = 'UPLCE',,,
43,NWBOR,LGDS,1,P,LGFU='PWDOM' AND AGE<10,,,
44,NWBOR,LGDS,2,P,LGFU='PRDOM' AND AGE<10,,,
45,NWBOR,LGDS,3,P,LGFU='PRWMX' AND AGE<10,,,
46,NWBOR,LGDS,4,P,LGFU='OCLOW' AND AGE<10,,,
47,NWBOR,LGDS,5,P,LGFU='SBLOW' AND AGE<10,,,
48,NWBOR,LGDS,6,P,LGFU='SbDom' AND AGE<10,,,
49,NWBOR,LGDS,7,P,LGFU='PJDom' AND AGE<10,,,
50,NWBOR,LGDS,8,P,LGFU='PODOM' AND AGE<5,,,
51,NWBOR,LGDS,9,P,LGFU='BWDOM' AND AGE<5,,,
52,NWBOR,LGDS,10,P,LGFU='OTHHD' AND AGE<5,,,
53,NWBOR,LGDS,11,P,LGFU='SBMX1' AND AGE<10,,,
54,NWBOR,LGDS,12,P,LGFU='PJMX1' AND AGE<10,,,
55,NWBOR,LGDS,13,P,LGFU='BFDOM' AND AGE<5,,,
56,NWBOR,LGDS,14,P,LGFU='CONMX' AND AGE<10,,,
57,NWBOR,LGDS,15,P,LGFU='HRDOM' AND AGE<5,,,
58,NWBOR,LGDS,16,P,LGFU='HRDMX' AND AGE<5,,,
59,NWBOR,LGDS,17,S,LGFU='PWDOM' AND AGE>=10 AND AGE<=19,,,
60,NWBOR,LGDS,18,S,LGFU='PRDOM' AND AGE>=10 AND AGE<=19,,,
61,NWBOR,LGDS,19,S,LGFU='PRWMX' AND AGE>=10 AND AGE<=19,,,
62,NWBOR,LGDS,20,S,LGFU='OCLOW' AND AGE>=10 AND AGE<=29,,,
63,NWBOR,LGDS,21,S,LGFU='SBLOW' AND AGE>=10 AND AGE<=29,,,
64,NWBOR,LGDS,22,S,LGFU='SBDOM' AND AGE>=10 AND AGE<=29,,,
65,NWBOR,LGDS,23,S,LGFU='PJDOM' AND AGE>=10 AND AGE<=29,,,
66,NWBOR,LGDS,24,S,LGFU='PODOM' AND AGE>=5 AND AGE<=9,,,
67,NWBOR,LGDS,25,S,LGFU='BWDOM' AND AGE>=5 AND AGE<=9,,,
68,NWBOR,LGDS,26,S,LGFU='OTHHD' AND AGE>=5 AND AGE<=9,,,
69,NWBOR,LGDS,27,S,LGFU='SBMX1' AND AGE>=10 AND AGE<=29,,,
70,NWBOR,LGDS,28,S,LGFU='PJMX1' AND AGE>=10 AND AGE<=29,,,
71,NWBOR,LGDS,29,S,LGFU='BFDOM' AND AGE>=5 AND AGE<=9,,,
72,NWBOR,LGDS,30,S,LGFU='CONMX' AND AGE>=10 AND AGE<=29,,,
73,NWBOR,LGDS,31,S,LGFU='HRDOM' AND AGE>=5 AND AGE<=9,,,
74,NWBOR,LGDS,32,S,LGFU='HRDMX' AND AGE>=5 AND AGE<=9,,,
75,NWBOR,LGDS,33,I,LGFU='PWDOM' AND AGE>=20 AND AGE<=79,,,
76,NWBOR,LGDS,34,I,LGFU='PRDOM' AND AGE>=20 AND AGE<=79,,,
77,NWBOR,LGDS,35,I,LGFU='PRWMX' AND AGE>=20 AND AGE<=79,,,
78,NWBOR,LGDS,36,I,LGFU='OCLOW' AND AGE>=30 AND AGE<=69,,,
79,NWBOR,LGDS,37,I,LGFU='SBLOW' AND AGE>=30 AND AGE<=69,,,
80,NWBOR,LGDS,38,I,LGFU='SBDOM' AND AGE>=30 AND AGE<=69,,,
81,NWBOR,LGDS,39,I,LGFU='PJDOM' AND AGE>=30 AND AGE<=69,,,
82,NWBOR,LGDS,40,I,LGFU='PODOM' AND AGE>=10 AND AGE<=59,,,
83,NWBOR,LGDS,41,I,LGFU='BWDOM' AND AGE>=10 AND AGE<=49,,,
84,NWBOR,LGDS,42,I,LGFU='OTHHD' AND AGE>=10 AND AGE<=59,,,
85,NWBOR,LGDS,43,I,LGFU='SBMX1' AND AGE>=30 AND AGE<=69,,,
86,NWBOR,LGDS,44,I,LGFU='PJMX1' AND AGE>=30 AND AGE<=69,,,
87,NWBOR,LGDS,45,I,LGFU='BFDOM' AND AGE>=10 AND AGE<=59,,,
88,NWBOR,LGDS,46,I,LGFU='CONMX' AND AGE>=30 AND AGE<=69,,,
89,NWBOR,LGDS,47,I,LGFU='HRDOM' AND AGE>=10 AND AGE<=59,,,
90,NWBOR,LGDS,48,I,LGFU='HRDMX' AND AGE>=10 AND AGE<=59,,,
91,NWBOR,LGDS,49,M,LGFU='PWDOM' AND AGE>=80 AND AGE<=129,,,
92,NWBOR,LGDS,50,M,LGFU='PRDOM' AND AGE>=80 AND AGE<=149,,,
93,NWBOR,LGDS,51,M,LGFU='PRWMX' AND AGE>=80 AND AGE<=139,,,
94,NWBOR,LGDS,52,M,LGFU='OCLOW' AND AGE>=70 AND AGE<=119,,,
95,NWBOR,LGDS,53,M,LGFU='SBLOW' AND AGE>=70 AND AGE<=159,,,
96,NWBOR,LGDS,54,M,LGFU='SbDom' AND AGE>=70 AND AGE<=119,,,
97,NWBOR,LGDS,55,M,LGFU='PJDom' AND AGE>=70 AND AGE<=99,,,
98,NWBOR,LGDS,56,M,LGFU='PODom' AND AGE>=60 AND AGE<=99,,,
99,NWBOR,LGDS,57,M,LGFU='BWDOM' AND AGE>=50 AND AGE<=109,,,
100,NWBOR,LGDS,58,M,LGFU='OTHHD' AND AGE>=60 AND AGE<=99,,,
101,NWBOR,LGDS,59,M,LGFU='SBMX1' AND AGE>=70 AND AGE<=109,,,
102,NWBOR,LGDS,60,M,LGFU='PJMX1' AND AGE>=70 AND AGE<=99,,,
103,NWBOR,LGDS,61,M,LGFU='BFDOM' AND AGE>=60 AND AGE<=79,,,
104,NWBOR,LGDS,62,M,LGFU='CONMX' AND AGE>=70 AND AGE<=109,,,
105,NWBOR,LGDS,63,M,LGFU='HRDOM' AND AGE>=60 AND AGE<=99,,,
106,NWBOR,LGDS,64,M,LGFU='HRDMX' AND AGE>=60 AND AGE<=109,,,
107,NWBOR,LGDS,65,L,LGFU='PWDOM' AND AGE>129,,,
108,NWBOR,LGDS,66,L,LGFU='PRDOM' AND AGE>149,,,
109,NWBOR,LGDS,67,L,LGFU='PRWMX' AND AGE>139,,,
110,NWBOR,LGDS,68,L,LGFU='OCLOW' AND AGE>119,,,
111,NWBOR,LGDS,69,L,LGFU='SBLOW' AND AGE>159,,,
112,NWBOR,LGDS,70,L,LGFU='SBDOM' AND AGE>119,,,
113,NWBOR,LGDS,71,L,LGFU='PJDOM' AND AGE>99,,,
114,NWBOR,LGDS,72,L,LGFU='PODOM' AND AGE>99,,,
115,NWBOR,LGDS,73,L,LGFU='BWDOM' AND AGE>109,,,
116,NWBOR,LGDS,74,L,LGFU='OTHHD' AND AGE>99,,,
117,NWBOR,LGDS,75,L,LGFU='SBMX1' AND AGE>109,,,
118,NWBOR,LGDS,76,L,LGFU='PJMX1' AND AGE>99,,,
119,NWBOR,LGDS,77,L,LGFU='BFDOM' AND AGE>79,,,
120,NWBOR,LGDS,78,L,LGFU='CONMX' AND AGE>109,,,
121,NWBOR,LGDS,79,L,LGFU='HRDOM' AND AGE>99,,,
122,NWBOR,LGDS,80,L,LGFU='HRDMX' AND AGE>109,,,
123,NWBOR,LGDS,81,P,LGFU='UPLCE' AND AGE>=0 AND AGE<10,,,
124,NWBOR,LGDS,82,S,LGFU='UPLCE' AND AGE>=10 AND AGE<=29,,,
125,NWBOR,LGDS,83,I,LGFU='UPLCE' AND AGE>=30 AND AGE<=69,,,
126,NWBOR,LGDS,84,M,LGFU='UPLCE' AND AGE>=70 AND AGE<=99,,,
127,NWBOR,LGDS,85,L,LGFU='UPLCE' AND AGE>100,,,
128,NWBOR,LGCLS,1,PSSap,(LGDS='P') or ( LGDS='S'),,,
129,NWBOR,LGCLS,2,ImmCon,"LGDS='I' and LGFU IN ('BFDom', 'ConMx', 'UplCe', 'PjDom', 'SbDom', 'Sblow', 'OCLOW', 'PJMX1', 'PRWMX', 'SBMX1')",,,
130,NWBOR,LGCLS,3,ImmHwd,"LGDS='I' and LGFU IN ('BWDom', 'HRDMX', 'HRDOM', 'PODOM', 'OTHHD')",,,
131,NWBOR,LGCLS,4,MLBfir,(LGDS='M' or LGDS='L') and LGFU='BFDom',,,
132,NWBOR,LGCLS,5,MLLCon,(LGDS='M' or LGDS='L') and (LGFU='SBLOW' or LGFU='OCLOW'),,,
133,NWBOR,LGCLS,6,MLHdMx,(LGDS='M' or LGDS='L') and (LGFU='BWDOM' or LGFU='HRDMX' or LGFU='HRDOM' or LGFU='OTHHD' or LGFU='PODOM'),,,
134,NWBOR,LGCLS,7,MLUcMx,"(LGDS='M' or LGDS='L') and LGFU IN ('CONMX', 'PJDom', 'UPLCe', 'PJMX1', 'PRWMX', 'SbDom', 'SBMX1')",,,
135,NWBOR,PFT,1,PWR,SFU='PWDOM' or SFU='PRDOM' or SFU='PRWMX',,,
136,NWBOR,PFT,2,PJK,SFU='PJSHA' or SFU='PJDEE',,,
137,NWBOR,PFT,3,MCU,SFU='UPLCE' or SFU='SBSHA' or SFU='SBDEE' or SFU='SBMX1' or SFU='PJMX1' or SFU='BFPUR' or SFU='BFMX1',,,
138,NWBOR,PFT,4,MCL,SFU='SBLOW' or SFU='OCLOW',,,
139,NWBOR,PFT,5,MIX,SFU='HRDMW' or SFU='CONMX' or SFU='HRDOM',,,
140,NWBOR,PFT,6,POP,SFU='POSHA' or SFU='PODEE',,,
141,NWBOR,PFT,7,BWT,SFU='BWSHA' or SFU='BWDEE',,,
142,NWBOR,PFT,8,TOL,SFU='OTHHD',,,
300,NEBOR,ECOGRP,1,ConLow,"ECONUM IN (126,127,128,129,134,135,136,137,222,223,224)",,,Econum = 126 or Econum = 127 or Econum = 128 or Econum = 129 or Econum = 134 or Econum = 135 or Econum = 136 or Econum = 137 or Econum = 222 or Econum = 223 or Econum = 224
301,NEBOR,ECOGRP,2,HwdLow,"ECONUM IN (70,71,119,120,130,131)",,,Econum = 70 or Econum = 71 or Econum = 119 or Econum = 120 or Econum = 130 or Econum = 131
302,NEBOR,ECOGRP,3,PineES,"ECONUM IN (12,34,35,49,50)",,,Econum = 12 or Econum = 34 or Econum = 49 or Econum = 35 or Econum = 50
303,NEBOR,ECOGRP,4,ShalES,"ECONUM IN (11,12,14,15,16,17,18,19,23,24,25,26,27,28)",,,Econum = 11 or Econum = 12 or Econum = 14 or Econum = 15 or Econum = 16 or Econum = 17 or Econum = 18 or Econum = 19 or Econum = 23 or Econum = 24 or Econum = 25 or Econum = 26 or Econum = 27 or Econum = 28
304,NEBOR,ECOGRP,5,NA,EcoNum>0,,,
310,NEBOR,SFU,1,PR1,PR>=70,"Red Pine, Plantations",Confirmed,same as v9 ROD2023
,NEBOR,SFU,2,PW1,(PW+PR+HE+SW >= 40 AND PW>=30),"White Pine, Shelterwood",Added and confirmed,removed SX from v9_ROD2023
311,NEBOR,SFU,3,PRW,(PW+PR+SW+HE>= 40 AND PW+PR>= 30),Red and White Pine,Confirmed,"following v9_ROD2023, but removed SX"
312,NEBOR,SFU,4,LH1,"((AB + EX + YB >= 20 AND ECONUM IN (119,120,123,129,130,131)) OR PB >= 70)",Lowland Hardwood,Confirmed,"same as v9 ROD2023, but changed EW to EX because there's no EW group spc"
,NEBOR,SFU,5,TH1,AB+EX+MH+YB+MR+HE >= 30,Tolerant Hardwood,Confirmed,"same as v9 ROD2023, but changed EW to EX because there's no EW group spc"
313,NEBOR,SFU,6,SBOG,"SB+LA+CE>=70 AND SC=4 AND ECONUM IN (126,136,137)","SC4 Black Spruce, Bog",Confirmed,"following v9_ROD2023, but SB group includes SX as well here"
315,NEBOR,SFU,7,SB1,"SB>=80 AND AB<=10 AND ECONUM IN (127,128,129,222,223,224)","Black Spruce, Lowland",Confirmed,same as v9 ROD2023
316,NEBOR,SFU,8,PJ1,"(PJ>=90 OR (PJ>=70 AND PO+PT+BW+YB+MR+MH+AB+EX+PB<=20 AND ECONUM IN (12,33,34,35,48,49,50)))","Jack Pine, Pure",Confirmed,same as v9 ROD2023
317,NEBOR,SFU,9,LC1,"CE+LA+SB+BF+SW>= 70 AND ECONUM IN (127,128,129,222,223,224,136,137)",Lowland Conifer,Confirmed,same as v9 ROD2023
318,NEBOR,SFU,10,PJ2,(PJ+SB+PR+PW>=70 OR (PJ>=30 AND PJ+SB+BF+SW+PW+PR+CE+LA>=70)) AND PJ+PW+PR>=SB+SW+CE,"Jack Pine, Pure",Confirmed,same as v9 ROD2023
319,NEBOR,SFU,11,SP1,SB+SW+BF+CE+LA+PW+PJ+PR+HE>=70 AND (BF+CE+PW+SW+HE<=20 OR PJ+PR+LA>=30),Jack Pine Black Spruce,Confirmed,same as v9 ROD2023 but removed SX from the 2nd inequality because SB group is SB+SX.
320,NEBOR,SFU,12,SF1,SB+SW+BF+CE+LA+PW+PJ+PR>=70,"Spruce, Upland",Confirmed,same as v9 ROD2023
321,NEBOR,SFU,13,PO1,PO+PT+PL+BW+MH+YB+MR+AB+EX+PB>=70 AND PO+PT+PL+PB>=50,Poplar,Confirmed,same as v9 ROD2023
322,NEBOR,SFU,14,BW1,PO+BW+YB+MR+UH+MH+LH+OH>=70,White Birch,Confirmed,same as v9 ROD2023
323,NEBOR,SFU,15,MH1,"(BF<=20 AND SW<=20 AND CE<=20 AND PO+PT+PL+BW+MH+YB+MR+AB+EX+PB>=50 AND PJ+PR<=50 AND PJ+PR>=20 AND ECONUM IN (16,19,28,40,43,55,59,70,76))",Mixedwood Hardwood Fresh Coarse,Confirmed,same as v9 ROD2023 but removed SX from the 2nd inequality because SB group is SB+SX.
324,NEBOR,SFU,16,MC1,"((BF<=20 AND SW<=20 AND CE<=20 AND PJ+PR+LA>=20 AND ECONUM IN (12,14,35,37,38,50,52,53,65,67,68)) OR PJ+PR>=50)",Mixedwood Conifer Fresh Coarse,Confirmed,same as v9 ROD2023 but removed SX from the 2nd inequality because SB group is SB+SX.
325,NEBOR,SFU,17,MH2,ALLHWD > ALLCON,Mixedwood Hardwood Moist Fine,Confirmed,"This looks different, but essentially same as ROD2023 since it later catches all rest of undefined as MH2 or MC2"
326,NEBOR,SFU,18,MC2,POLYTYPE = 'FOR',Mixedwood Conifer Moist Fine,Confirmed,"This looks different, but essentially same as ROD2023 since it later catches all rest of undefined as MH2 or MC2"
350,NEBOR,LGFU,1,PR1,(PR>=70),,,
351,NEBOR,LGFU,2,PRW,(PW+PR+SW+HE>= 40) AND (PW>=30),,,
352,NEBOR,LGFU,3,PRW,(PW+PR>= 40),,,
353,NEBOR,LGFU,4,LH1,(LH>=30 AND EcoGrp='HwdLow'),,,
354,NEBOR,LGFU,5,LH1,(PB>=30 AND EcoGrp='HwdLow'),,,
355,NEBOR,LGFU,6,LH1,(LH+YB+MR+UH+MH+HE+OH>=30),,,
356,NEBOR,LGFU,7,BOG,(SB+LA+OC>=70) AND (PW=0) AND (SC=4) AND (EcoGrp='ConLow'),,,
357,NEBOR,LGFU,8,SB1,(SB>=70) AND (YB+MR+UH+MH+PR=0) AND (PW+PJ<=10) AND (EcoGrp='ConLow'),,,
358,NEBOR,LGFU,9,PJ1,(PJ>=70) AND (PO+BW+YB+MR+UH+MH+LH+OH<=20) AND (EcoGrp='PineES'),,,
359,NEBOR,LGFU,10,LC1,(CE+LA+SB>=70) AND (YB+MR+UH+MH+PR=0) AND (PW+PJ<=10) AND (EcoGrp='ConLow'),,,
360,NEBOR,LGFU,11,PJ2,(PJ+SB+PR>=70) AND (PJ>=SB),,,
361,NEBOR,LGFU,12,PJ2,(PJ>=50) AND (PJ+SB+BF+SW+HE+PW+PR+CE+LA+OC>=70) AND (PJ>=SB),,,
362,NEBOR,LGFU,13,SP1,(SB+SW+BF+CE+LA+PW+PJ+PR+HE+OC>=70) AND (BF+CE+PW+LA+SW+HE<=20),,,
363,NEBOR,LGFU,14,SP1,(SB+SW+BF+CE+LA+PW+PJ+PR+HE+OC>=70) AND (PJ>=30),,,
364,NEBOR,LGFU,15,SF1,(SB+SW+BF+CE+LA+PW+PJ+PR+HE+OC>=70),,,
365,NEBOR,LGFU,16,PO1,(PT+PL+BW+YB+MR+UH+MH+LH+OH>=70) AND (PO>=50),,,
366,NEBOR,LGFU,17,BW1,(PT+PL+BW+YB+MR+UH+MH+LH+OH>=70),,,
367,NEBOR,LGFU,18,MW1,(PJ+PR>=20) AND (PT+PL+BW+YB+MR+UH+MH+LH>=50) AND (EcoGrp='NA'),,,
368,NEBOR,LGFU,19,MW1,(BF<=20) AND (SW<=20) AND (CE<=20) AND (PT+PL+BW+YB+MR+UH+MH+LH>=50) AND (EcoGrp='NA'),,,
369,NEBOR,LGFU,20,MW1,(PJ+PR>=20) AND (EcoGrp='NA'),,,
370,NEBOR,LGFU,21,MW1,(BF<=20) AND (SW<=20) AND (CE<=20) AND (EcoGrp='NA'),,,
371,NEBOR,LGFU,22,MW2,(PT+PL+BW+YB+MR+UH+MH+LH>=50),,,
372,NEBOR,LGFU,23,MW2,Stkg>=0,,,
400,NEBOR,LGDS,1,P,LGFU='PW1' AND AGE>=0 AND AGE<15,,,
401,NEBOR,LGDS,2,P,LGFU='PR1' AND AGE>0 AND AGE<15,,,
402,NEBOR,LGDS,3,P,LGFU='PRW' AND AGE>=0 AND AGE<15,,,
403,NEBOR,LGDS,4,P,LGFU='LC1' AND AGE>=0 AND AGE<20,,,
404,NEBOR,LGDS,5,P,LGFU='SB1' AND AGE>=0 AND AGE<20,,,
405,NEBOR,LGDS,6,P,LGFU='SP1' AND AGE>=0 AND AGE<15,,,
406,NEBOR,LGDS,7,P,LGFU='PJ1' AND AGE>=0 AND AGE<10,,,
407,NEBOR,LGDS,8,P,LGFU='PO1' AND AGE>=0 AND AGE<10,,,
408,NEBOR,LGDS,9,P,LGFU='BW1' AND AGE>=0 AND AGE<10,,,
409,NEBOR,LGDS,10,P,LGFU='LH1' AND AGE>=0 AND AGE<10,,,
410,NEBOR,LGDS,11,P,LGFU='MW1' AND AGE>0 AND AGE<10,,,
411,NEBOR,LGDS,12,P,LGFU='PJ2' AND AGE>=0 AND AGE<10,,,
412,NEBOR,LGDS,13,P,LGFU='SF1' AND AGE>=0 AND AGE<15,,,
413,NEBOR,LGDS,14,P,LGFU='MW2' AND AGE>=0 AND AGE<10,,,
414,NEBOR,LGDS,15,S,LGFU='PW1' AND AGE>=15 AND AGE<=39,,,
415,NEBOR,LGDS,16,S,LGFU='PR1' AND AGE>=15 AND AGE<=39,,,
416,NEBOR,LGDS,17,S,LGFU='PRW' AND AGE>=15 AND AGE<=39,,,
417,NEBOR,LGDS,18,S,LGFU='LC1' AND AGE>=20 AND AGE<=39,,,
418,NEBOR,LGDS,19,S,LGFU='SB1' AND AGE>=20 AND AGE<=39,,,
419,NEBOR,LGDS,20,S,LGFU='SP1' AND AGE>=15 AND AGE<=39,,,
420,NEBOR,LGDS,21,S,LGFU='PJ1' AND AGE>=10 AND AGE<=29,,,
421,NEBOR,LGDS,22,S,LGFU='PO1' AND AGE>=10 AND AGE<=29,,,
422,NEBOR,LGDS,23,S,LGFU='BW1' AND AGE>=10 AND AGE<=29,,,
423,NEBOR,LGDS,24,S,LGFU='LH1' AND AGE>=10 AND AGE<=29,,,
424,NEBOR,LGDS,25,S,LGFU='MW1' AND AGE>=10 AND AGE<=29,,,
425,NEBOR,LGDS,26,S,LGFU='PJ2' AND AGE>=10 AND AGE<=29,,,
426,NEBOR,LGDS,27,S,LGFU='SF1' AND AGE>=15 AND AGE<=39,,,
427,NEBOR,LGDS,28,S,LGFU='MW2' AND AGE>=10 AND AGE<=29,,,
428,NEBOR,LGDS,29,I,LGFU='PW1' AND AGE>=40 AND AGE<=79,,,
429,NEBOR,LGDS,30,I,LGFU='PR1' AND AGE>=40 AND AGE<=79,,,
430,NEBOR,LGDS,31,I,LGFU='PRW' AND AGE>=40 AND AGE<=79,,,
431,NEBOR,LGDS,32,I,LGFU='LC1' AND AGE>=40 AND AGE<=79,,,
432,NEBOR,LGDS,33,I,LGFU='SB1' AND AGE>=40 AND AGE<=79,,,
433,NEBOR,LGDS,34,I,LGFU='SP1' AND AGE>=40 AND AGE<=79,,,
434,NEBOR,LGDS,35,I,LGFU='PJ1' AND AGE>=30 AND AGE<=69,,,
435,NEBOR,LGDS,36,I,LGFU='PO1' AND AGE>=30 AND AGE<=59,,,
436,NEBOR,LGDS,37,I,LGFU='BW1' AND AGE>=30 AND AGE<=69,,,
437,NEBOR,LGDS,38,I,LGFU='LH1' AND AGE>=30 AND AGE<=69,,,
438,NEBOR,LGDS,39,I,LGFU='MW1' AND AGE>=30 AND AGE<=69,,,
439,NEBOR,LGDS,40,I,LGFU='PJ2' AND AGE>=30 AND AGE<=69,,,
440,NEBOR,LGDS,41,I,LGFU='SF1' AND AGE>=40 AND AGE<=79,,,
